SSN,DoB,PC,Date,time,Headache,Fever,Cough,SoreThroat,Fatigue,Nausea,ChestPain
123456789,01/01/2000,10000,25/03/2025,10:00,1,1,0,1,1,0,0
987654321,21/11/1997,75017,24/03/2025,14:30,0,0,1,1,0,1,1
104734594,14/09/2003,13000,20/02/2025,17:00,1,0,0,0,0,0,0
403256945,20/02/2001,33000,02/05/2025,09:30,0,0,0,0,1,0,0
745601928,05/07/1975,13001,25/03/2025,09:30,0,0,1,1,0,0,0
803294175,11/06/1955,84000,25/03/2025,10:20,1,0,0,0,0,1,1
432190583,29/02/2004,29200,25/03/2025,10:40,0,0,1,1,1,0,0
910273845,03/12/1988,57000,25/03/2025,10:50,1,1,1,1,1,1,1
210394857,17/08/1945,59000,25/03/2025,10:55,0,1,0,0,0,1,0
389745621,01/01/2010,31000,25/03/2025,11:00,1,0,0,1,1,1,0

